Month,Day,Hour_1,Hour_2,Hour_3,Hour_4,Hour_5,Hour_6,Hour_7,Hour_8,Hour_9,Hour_10,Hour_11,Hour_12,Hour_13,Hour_14,Hour_15,Hour_16,Hour_17,Hour_18,Hour_19,Hour_20,Hour_21,Hour_22,Hour_23,Hour_24,Mean,Variance
01,01,2.15,1.98,1.70,1.35,1.01,0.74,0.62,0.66,0.83,1.03,1.20,1.33,1.41,1.44,1.44,1.41,1.40,1.41,1.52,1.70,1.90,2.07,2.14,2.13,1.44,0.22
01,02,2.07,1.97,1.79,1.52,1.22,0.95,0.77,0.73,0.82,0.99,1.17,1.32,1.42,1.47,1.50,1.48,1.46,1.44,1.45,1.55,1.70,1.86,1.95,1.98,1.44,0.15
01,03,1.95,1.88,1.78,1.60,1.38,1.14,0.94,0.84,0.86,0.98,1.15,1.31,1.43,1.51,1.56,1.57,1.55,1.51,1.47,1.48,1.54,1.64,1.74,1.78,1.44,0.1
01,04,1.79,1.75,1.69,1.60,1.45,1.28,1.10,0.98,0.94,1.00,1.14,1.30,1.45,1.56,1.64,1.68,1.67,1.63,1.56,1.49,1.45,1.46,1.52,1.56,1.45,0.06
01,05,1.58,1.57,1.55,1.52,1.45,1.36,1.24,1.12,1.05,1.05,1.14,1.29,1.45,1.61,1.71,1.79,1.81,1.78,1.70,1.58,1.46,1.36,1.32,1.33,1.45,0.05
01,06,1.34,1.36,1.37,1.38,1.39,1.36,1.32,1.24,1.17,1.13,1.16,1.28,1.45,1.63,1.78,1.89,1.95,1.93,1.86,1.73,1.54,1.36,1.21,1.13,1.46,0.07
01,07,1.10,1.11,1.15,1.20,1.26,1.31,1.34,1.32,1.27,1.23,1.21,1.27,1.42,1.62,1.82,1.98,2.08,2.11,2.05,1.92,1.71,1.46,1.21,1.00,1.46,0.12
01,08,0.89,0.86,0.90,0.98,1.08,1.19,1.29,1.35,1.36,1.32,1.28,1.28,1.38,1.57,1.80,2.03,2.19,2.27,2.25,2.14,1.94,1.66,1.33,1.01,1.47,0.21
01,09,0.77,0.65,0.64,0.73,0.86,1.02,1.19,1.32,1.39,1.40,1.35,1.31,1.34,1.47,1.71,1.98,2.24,2.39,2.43,2.38,2.21,1.95,1.58,1.18,1.48,0.33
01,10,0.81,0.54,0.44,0.47,0.62,0.81,1.01,1.22,1.37,1.43,1.42,1.35,1.33,1.37,1.55,1.83,2.15,2.42,2.55,2.56,2.47,2.25,1.93,1.48,1.47,0.46
